sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
180,287.5879382073145,55.573613858660096,53.99358699831887,0.6580353574853997,1.0,True,1.0,1.0,207.82061908914713
181,210.611050356957,21.712957645371294,54.13956518338247,0.3911332095698258,1.0,True,1.0,1.0,436.82252218715485
182,111.18443776856401,35.660070494307504,33.5372098212547,0.9086969461831441,1.0,True,1.0,1.0,78.95582416492583
183,44.52085914732237,6.5204714606801915,22.376097850693615,0.5299390838804487,1.0,True,1.0,1.0,54.78955092872867
184,62.40210753979888,2.16053011669495,47.46068376610434,0.137615489468797,1.0,True,1.0,1.0,443.05222758382877
185,170.12820251509424,33.79760195971858,41.391369474226856,0.6714631314818665,1.0,True,1.0,1.0,116.22396253724189
186,66.37716568385402,15.436898438449376,25.551175088054055,0.7492805643286745,1.0,True,1.0,1.0,34.65074271193648
187,7.634657249330692,0.8120452629923942,10.19566674338334,0.40225352813420523,1.0,True,1.0,1.0,15.257201605684113
188,211.9728942906526,64.96832014481562,46.07342862419643,0.8865685235711102,1.0,True,1.0,1.0,137.15184375236996
189,37.857141950664236,11.384315254135595,19.435328375757557,0.8772330608239204,1.0,True,1.0,1.0,23.623676037414963
190,275.23369170265323,124.95623950187385,56.52472327935786,1.0674464159243184,1.0,True,1.0,1.0,374.5423597780892
191,31.106205957177952,11.900073557428106,18.253381625312663,0.9919732144165957,1.0,True,1.0,1.0,31.48181252487921
192,12.821408428203437,4.972712034345891,11.75168628263173,0.9982348614110974,1.0,True,1.0,1.0,13.362874048345692
193,228.36995538910665,33.358323422420824,50.711196966869835,0.5287847098581793,1.0,True,1.0,1.0,281.74474412016184
194,12.77557980954203,7.903014009990656,13.430637414347173,1.1867292553956987,1.0,True,1.0,1.0,27.255003236304866
195,22.297273023986623,6.397068629437459,14.85975694867565,0.854016667611649,1.0,True,1.0,1.0,12.75687891586509
196,144.24742902882622,29.741327672359912,37.966053533646395,0.6896398993117654,1.0,True,1.0,1.0,91.46391061825142
197,269.8185979988366,96.62566661876345,53.100912246060545,0.9613447786796921,1.0,True,1.0,1.0,239.79364463476713
198,23.55679318332971,3.9503069665243413,15.803906614301528,0.5908390992095813,1.0,True,1.0,1.0,22.799021842037362
199,49.61057719888531,12.85190292444671,22.06780200950521,0.8031855044058372,1.0,True,1.0,1.0,25.06095333180781
200,183.52404141799184,93.80581896598139,47.75726610326477,1.1159016531746293,1.0,True,1.0,1.0,299.9089606366836
201,164.4406755013331,163.81443774327462,58.4504534333532,1.324918372400599,1.0,True,1.0,1.0,619.4899389470025
202,41.53487639073068,51.89273089122286,32.540765241128824,1.3733049179590848,1.0,True,1.0,1.0,200.3512817115836
203,17.000222200456857,4.293392738170164,12.914362640318792,0.7904706838713442,1.0,True,1.0,1.0,8.52732339778817
204,3.384219142169013,0.8953665538696419,5.766495823951085,0.8137075640728536,1.0,True,1.0,1.0,1.736109988676305
205,21.211641816621576,13.807086322568667,17.631081649937038,1.2040962431683915,1.0,True,1.0,1.0,48.30296235381268
206,13.289444827823381,1.930250566139323,12.250221978258658,0.5263224550885215,1.0,True,1.0,1.0,16.680376130646156
207,107.11139754289817,82.36770940839415,42.27122704870716,1.2564728082836871,1.0,True,1.0,1.0,299.50712857519073
208,13.95414002219788,3.431925726718947,11.700787754569212,0.7772183588361173,1.0,True,1.0,1.0,7.036027701849656
209,52.545172211213696,3.340718163675772,32.84814623913482,0.24903296661778626,1.0,True,1.0,1.0,195.0579047437607
210,69.76336437450769,3.315893360143199,43.18443396035875,0.18788001240785265,1.0,True,1.0,1.0,355.4064178854445
211,80.43525306033415,63.23572383777078,36.96141350714963,1.2629107675659643,1.0,True,1.0,1.0,230.92373380641553
212,8.435928568160696,0.35085813029103113,15.98766084130317,0.1648539112796879,1.0,True,1.0,1.0,49.49565008318936
213,202.095335456036,26.243815155383402,49.226848940024446,0.47907394094228306,1.0,True,1.0,1.0,301.6369892877095
214,179.353601399095,27.725639841820733,44.34739212886909,0.5538000095256348,1.0,True,1.0,1.0,200.494012920598
215,129.81097182065614,11.072821826364667,45.644120215354796,0.32881227510005123,1.0,True,1.0,1.0,342.42035382706365
216,13.18664971020782,1.911890158920221,12.20817633565223,0.5255442868577047,1.0,True,1.0,1.0,16.60180055244857
217,11.068997567147724,5.779682527130995,11.806459200768954,1.1242609121549503,1.0,True,1.0,1.0,18.719325614988932
218,68.40763908513314,1.850199623793207,56.01594030535792,0.10776757969399493,1.0,True,1.0,1.0,625.8501592365948
219,44.94794976090482,32.95916273603043,26.866800660371734,1.2422184420303386,1.0,True,1.0,1.0,118.69349112607871
220,25.755205438449504,21.770291220490247,21.552178047951685,1.2832331196258004,1.0,True,1.0,1.0,80.52623465418921
221,97.03213546114404,16.847798901559305,31.872122494334334,0.6070416730674263,1.0,True,1.0,1.0,87.26820520215341
222,99.43186755734695,7.737174657318068,41.457531701997034,0.30175053157105897,1.0,True,1.0,1.0,292.79708310932074
223,324.4216046221229,107.89368585495644,57.559279137583346,0.9261979344131211,1.0,True,1.0,1.0,248.1558652946568
224,21.38655865669692,1.390085294415867,20.754542478513024,0.254360872529257,1.0,True,1.0,1.0,77.46730947267419
225,295.7618024586513,50.23770905674854,55.864463612161494,0.5967900110068806,1.0,True,1.0,1.0,277.2891677340913
226,1.1842226938016744,2.0230433565838375,6.367272026244097,1.4254860509128622,1.0,True,1.0,1.0,7.947612898223782
227,23.956774078335652,63.80064997856459,35.53589232797536,1.4771970732567796,1.0,True,1.0,1.0,253.2398819546806
228,117.4602986246051,68.40959859025115,39.868631142459684,1.165328264590966,1.0,True,1.0,1.0,230.8654466221336
229,10.317708515646158,1.481854135470508,10.824357206291431,0.521450638206947,1.0,True,1.0,1.0,13.223321880650397
230,14.276768893793614,6.185313698355423,12.718677838515195,1.0474280033066765,1.0,True,1.0,1.0,18.059203970731982
231,67.37374990459163,30.93479954925227,28.05128756239671,1.0721995539775169,1.0,True,1.0,1.0,93.4186506816827
232,327.8407703960408,59.60733018852303,58.142755167874995,0.6287956271694649,1.0,True,1.0,1.0,268.453135438257
233,134.3975889005806,50.325143962271284,37.7823404278905,0.9821158075708596,1.0,True,1.0,1.0,130.33028160184094
234,65.65084137869327,1.6839911665549387,56.31627718801162,0.10224508066456267,1.0,True,1.0,1.0,633.9725624015689
235,169.96939240685342,16.930906901916813,49.23985035871339,0.37916602012926526,1.0,True,1.0,1.0,368.8469900439925
236,95.87611656564212,25.70999139717329,30.705988085541033,0.820428042638774,1.0,True,1.0,1.0,49.79087135702614
237,139.6495707826948,11.411199247058834,48.16198970887031,0.3159064156990984,1.0,True,1.0,1.0,387.9896289797668
